Heading,Restaurant_name,Restaurant_URL
御徒町の和食のお店,炭焼 やきとん酒場 TONTON 上野店,https://tabelog.com/tokyo/A1311/A131101/13276915/
御徒町の和食のお店,九州 熱中屋 上野 LIVE,https://tabelog.com/tokyo/A1311/A131101/13157256/
御徒町の和食のお店,佐渡島へ渡れ 上野店,https://tabelog.com/tokyo/A1311/A131101/13178882/
御徒町の和食のお店,日本酒とりまる 上野店,https://tabelog.com/tokyo/A1311/A131101/13273149/
御徒町の和食のお店,貝料理　吟,https://tabelog.com/tokyo/A1311/A131101/13189167/
御徒町の和食のお店,炭火焼き鳥 完全個室居酒屋 はなび 上野店,https://tabelog.com/tokyo/A1311/A131101/13269053/
御徒町の和食のお店,十勝ダイニング 豚っく,https://tabelog.com/tokyo/A1311/A131101/13026572/
御徒町の和食のお店,和牛と市場直送鮮魚の個室バル SHIKIBU 上野駅前店,https://tabelog.com/tokyo/A1311/A131101/13278613/
御徒町の和食のお店,"夜景が見える 全品2,000円 食べ飲み放題 はなこま 上野店",https://tabelog.com/tokyo/A1311/A131101/13270159/
御徒町の和食のお店,鳥道酒場 上野本店,https://tabelog.com/tokyo/A1311/A131101/13214473/
御徒町の和食のお店,居酒屋釧路,https://tabelog.com/tokyo/A1311/A131101/13065110/
御徒町の和食のお店,マグロ 婆娑羅 上野店,https://tabelog.com/tokyo/A1311/A131101/13196978/
御徒町の和食のお店,やきとん多吉 上野広小路店,https://tabelog.com/tokyo/A1311/A131101/13270666/
御徒町の和食のお店,尾崎牛 和モダン個室 しおり 上野駅前店,https://tabelog.com/tokyo/A1311/A131101/13278611/
御徒町の和食のお店,焼き鳥＆肉寿司食べ放題 個室居酒屋 鳥物語 上野店,https://tabelog.com/tokyo/A1311/A131101/13264534/
御徒町の和食のお店,旬魚鮮肉 産地直営 北海道幾蔵 上野本店,https://tabelog.com/tokyo/A1311/A131101/13239138/
御徒町の和食のお店,個室ダイニング 楽蔵 上野駅前店,https://tabelog.com/tokyo/A1311/A131101/13214155/
御徒町の和食のお店,辻が花 上野店,https://tabelog.com/tokyo/A1311/A131101/13039207/
御徒町の和食のお店,和食と和の酒　火の花,https://tabelog.com/tokyo/A1311/A131101/13225032/
御徒町の和食のお店,かちかちレモンサワー×野菜巻き串工房 ひかり 上野駅前店,https://tabelog.com/tokyo/A1311/A131101/13260409/
御徒町の和食のお店,完全個室居酒屋 串ばってん 上野店,https://tabelog.com/tokyo/A1311/A131101/13269115/
御徒町の和食のお店,個室居酒屋 座楽 上野駅前店,https://tabelog.com/tokyo/A1311/A131101/13260406/
御徒町の和食のお店,こんごう庵 御徒町店,https://tabelog.com/tokyo/A1311/A131101/13025181/
御徒町の和食のお店,牛タン専門店 タン治郎,https://tabelog.com/tokyo/A1311/A131101/13252480/
